year,city,year,nyc_temp,global_temp
1750,New York,1750,10.07,8.72
1751,New York,1751,10.79,7.98
1752,New York,1752,2.81,5.78
1753,New York,1753,9.52,8.39
1754,New York,1754,9.88,8.47
1755,New York,1755,6.61,8.36
1756,New York,1756,9.94,8.85
1757,New York,1757,8.89,9.02
1758,New York,1758,8.15,6.74
1759,New York,1759,9.01,7.99
1760,New York,1760,7.73,7.19
1761,New York,1761,10.18,8.77
1762,New York,1762,9.55,8.61
1763,New York,1763,7.23,7.5
1764,New York,1764,9.55,8.4
1765,New York,1765,8.96,8.25
1766,New York,1766,10.09,8.41
1767,New York,1767,8.52,8.22
1768,New York,1768,8.67,6.78
1769,New York,1769,9.1,7.69
1770,New York,1770,9.04,7.69
1771,New York,1771,10.18,7.85
1772,New York,1772,9.64,8.19
1773,New York,1773,10.08,8.22
1774,New York,1774,9.52,8.77
1775,New York,1775,10.24,9.18
1776,New York,1776,9.13,8.3
1777,New York,1777,8.77,8.26
1778,New York,1778,6.89,8.54
1779,New York,1779,0.25,8.98
1780,New York,1780,,9.43
1781,New York,1781,9.79,8.1
1782,New York,1782,9.15,7.9
1783,New York,1783,8.81,7.68
1784,New York,1784,8.4,7.86
1785,New York,1785,8.49,7.36
1786,New York,1786,8.98,8.26
1787,New York,1787,8.97,8.03
1788,New York,1788,9.77,8.45
1789,New York,1789,9.42,8.33
1790,New York,1790,9.39,7.98
1791,New York,1791,9.37,8.23
1792,New York,1792,8.72,8.09
1793,New York,1793,9.88,8.23
1794,New York,1794,9.83,8.53
1795,New York,1795,9.21,8.35
1796,New York,1796,8.97,8.27
1797,New York,1797,8.85,8.51
1798,New York,1798,9.71,8.67
1799,New York,1799,9.19,8.51
1800,New York,1800,9.58,8.48
1801,New York,1801,10,8.59
1802,New York,1802,10.29,8.58
1803,New York,1803,10.07,8.5
1804,New York,1804,9.69,8.84
1805,New York,1805,10.43,8.56
1806,New York,1806,9.38,8.43
1807,New York,1807,9.17,8.28
1808,New York,1808,9.57,7.63
1809,New York,1809,8.87,7.08
1810,New York,1810,9.35,6.92
1811,New York,1811,9.43,6.86
1812,New York,1812,7.8,7.05
1813,New York,1813,8.93,7.74
1814,New York,1814,8.7,7.59
1815,New York,1815,8.27,7.24
1816,New York,1816,7.92,6.94
1817,New York,1817,7.78,6.98
1818,New York,1818,8.13,7.83
1819,New York,1819,9.07,7.37
1820,New York,1820,8.98,7.62
1821,New York,1821,8.53,8.09
1822,New York,1822,9.84,8.19
1823,New York,1823,8.64,7.72
1824,New York,1824,9.29,8.55
1825,New York,1825,10.21,8.39
1826,New York,1826,9.92,8.36
1827,New York,1827,9.26,8.81
1828,New York,1828,10.7,8.17
1829,New York,1829,9.17,7.94
1830,New York,1830,10.32,8.52
1831,New York,1831,9.07,7.64
1832,New York,1832,9.15,7.45
1833,New York,1833,9.15,8.01
1834,New York,1834,9.32,8.15
1835,New York,1835,8.48,7.39
1836,New York,1836,7.51,7.7
1837,New York,1837,8.12,7.38
1838,New York,1838,8.73,7.51
1839,New York,1839,9.17,7.63
1840,New York,1840,9.27,7.8
1841,New York,1841,9,7.69
1842,New York,1842,9.41,8.02
1843,New York,1843,8.49,8.17
1844,New York,1844,9.12,7.65
1845,New York,1845,9.49,7.85
1846,New York,1846,9.66,8.55
1847,New York,1847,9.3,8.09
1848,New York,1848,9.54,7.98
1849,New York,1849,8.83,7.98
1850,New York,1850,9.1,7.9
1851,New York,1851,9.26,8.18
1852,New York,1852,8.98,8.1
1853,New York,1853,9.68,8.04
1854,New York,1854,9.56,8.21
1855,New York,1855,9.11,8.11
1856,New York,1856,8.2,8
1857,New York,1857,8.52,7.76
1858,New York,1858,9.13,8.1
1859,New York,1859,9.17,8.25
1860,New York,1860,9.18,7.96
1861,New York,1861,9.47,7.85
1862,New York,1862,9,7.56
1863,New York,1863,9.09,8.11
1864,New York,1864,9.29,7.98
1865,New York,1865,9.64,8.18
1866,New York,1866,8.95,8.29
1867,New York,1867,8.59,8.44
