year,city,nyc_temp,global_temp,year,NYC_3yrs_MA,Global_3yrs_MA,year,NYC_6yrs_MA,Global_6yrs_MA
1750,New York,10.07,8.72,1750,,,1750,,
1751,New York,10.79,7.98,1751,,,1751,,
1752,New York,2.81,5.78,1752,7.89,7.49,1752,,
1753,New York,9.52,8.39,1753,7.71,7.38,1753,,
1754,New York,9.88,8.47,1754,7.40,7.55,1754,,
1755,New York,6.61,8.36,1755,8.67,8.41,1755,8.28,7.95
1756,New York,9.94,8.85,1756,8.81,8.56,1756,8.258333333,7.971666667
1757,New York,8.89,9.02,1757,8.48,8.74,1757,7.941666667,8.145
1758,New York,8.15,6.74,1758,8.99,8.20,1758,8.831666667,8.305
1759,New York,9.01,7.99,1759,8.68,7.92,1759,8.746666667,8.238333333
1760,New York,7.73,7.19,1760,8.30,7.31,1760,8.388333333,8.025
1761,New York,10.18,8.77,1761,8.97,7.98,1761,8.983333333,8.093333333
1762,New York,9.55,8.61,1762,9.15,8.19,1762,8.918333333,8.053333333
1763,New York,7.23,7.5,1763,8.99,8.29,1763,8.641666667,7.8
1764,New York,9.55,8.4,1764,8.78,8.17,1764,8.875,8.076666667
1765,New York,8.96,8.25,1765,8.58,8.05,1765,8.866666667,8.12
1766,New York,10.09,8.41,1766,9.53,8.35,1766,9.26,8.323333333
1767,New York,8.52,8.22,1767,9.19,8.29,1767,8.983333333,8.231666667
1768,New York,8.67,6.78,1768,9.09,7.80,1768,8.836666667,7.926666667
1769,New York,9.1,7.69,1769,8.76,7.56,1769,9.148333333,7.958333333
1770,New York,9.04,7.69,1770,8.94,7.39,1770,9.063333333,7.84
1771,New York,10.18,7.85,1771,9.44,7.74,1771,9.266666667,7.773333333
1772,New York,9.64,8.19,1772,9.62,7.91,1772,9.191666667,7.736666667
1773,New York,10.08,8.22,1773,9.97,8.09,1773,9.451666667,7.736666667
1774,New York,9.52,8.77,1774,9.75,8.39,1774,9.593333333,8.068333333
1775,New York,10.24,9.18,1775,9.95,8.72,1775,9.783333333,8.316666667
1776,New York,9.13,8.3,1776,9.63,8.75,1776,9.798333333,8.418333333
1777,New York,8.77,8.26,1777,9.38,8.58,1777,9.563333333,8.486666667
1778,New York,6.89,8.54,1778,8.26,8.37,1778,9.105,8.545
1779,New York,0.25,8.98,1779,5.30,8.59,1779,7.466666667,8.671666667
1781,New York,9.79,8.1,1781,5.64,8.54,1781,7.511666667,8.56
1782,New York,9.15,7.9,1782,6.40,8.33,1782,7.33,8.346666667
1783,New York,8.81,7.68,1783,9.25,7.89,1783,7.276666667,8.243333333
1784,New York,8.4,7.86,1784,8.79,7.81,1784,7.215,8.176666667
1785,New York,8.49,7.36,1785,8.57,7.63,1785,7.481666667,7.98
1786,New York,8.98,8.26,1786,8.62,7.83,1786,8.936666667,7.86
1787,New York,8.97,8.03,1787,8.81,7.88,1787,8.8,7.848333333
1788,New York,9.77,8.45,1788,9.24,8.25,1788,8.903333333,7.94
1789,New York,9.42,8.33,1789,9.39,8.27,1789,9.005,8.048333333
1790,New York,9.39,7.98,1790,9.53,8.25,1790,9.17,8.068333333
1791,New York,9.37,8.23,1791,9.39,8.18,1791,9.316666667,8.213333333
1792,New York,8.72,8.09,1792,9.16,8.10,1792,9.273333333,8.185
1793,New York,9.88,8.23,1793,9.32,8.18,1793,9.425,8.218333333
1794,New York,9.83,8.53,1794,9.48,8.28,1794,9.435,8.231666667
1795,New York,9.21,8.35,1795,9.64,8.37,1795,9.4,8.235
1796,New York,8.97,8.27,1796,9.34,8.38,1796,9.33,8.283333333
1797,New York,8.85,8.51,1797,9.01,8.38,1797,9.243333333,8.33
1798,New York,9.71,8.67,1798,9.18,8.48,1798,9.408333333,8.426666667
1799,New York,9.19,8.51,1799,9.25,8.56,1799,9.293333333,8.473333333
1800,New York,9.58,8.48,1800,9.49,8.55,1800,9.251666667,8.465
1801,New York,10,8.59,1801,9.59,8.53,1801,9.383333333,8.505
1802,New York,10.29,8.58,1802,9.96,8.55,1802,9.603333333,8.556666667
1803,New York,10.07,8.5,1803,10.12,8.56,1803,9.806666667,8.555
1804,New York,9.69,8.84,1804,10.02,8.64,1804,9.803333333,8.583333333
1805,New York,10.43,8.56,1805,10.06,8.63,1805,10.01,8.591666667
1806,New York,9.38,8.43,1806,9.83,8.61,1806,9.976666667,8.583333333
1807,New York,9.17,8.28,1807,9.66,8.42,1807,9.838333333,8.531666667
1808,New York,9.57,7.63,1808,9.37,8.11,1808,9.718333333,8.373333333
1809,New York,8.87,7.08,1809,9.20,7.66,1809,9.518333333,8.136666667
1810,New York,9.35,6.92,1810,9.26,7.21,1810,9.461666667,7.816666667
1811,New York,9.43,6.86,1811,9.22,6.95,1811,9.295,7.533333333
1812,New York,7.8,7.05,1812,8.86,6.94,1812,9.031666667,7.303333333
1813,New York,8.93,7.74,1813,8.72,7.22,1813,8.991666667,7.213333333
1814,New York,8.7,7.59,1814,8.48,7.46,1814,8.846666667,7.206666667
1815,New York,8.27,7.24,1815,8.63,7.52,1815,8.746666667,7.233333333
1816,New York,7.92,6.94,1816,8.30,7.26,1816,8.508333333,7.236666667
1817,New York,7.78,6.98,1817,7.99,7.05,1817,8.233333333,7.256666667
1818,New York,8.13,7.83,1818,7.94,7.25,1818,8.288333333,7.386666667
1819,New York,9.07,7.37,1819,8.33,7.39,1819,8.311666667,7.325
1820,New York,8.98,7.62,1820,8.73,7.61,1820,8.358333333,7.33
1821,New York,8.53,8.09,1821,8.86,7.69,1821,8.401666667,7.471666667
1822,New York,9.84,8.19,1822,9.12,7.97,1822,8.721666667,7.68
1823,New York,8.64,7.72,1823,9.00,8.00,1823,8.865,7.803333333
1824,New York,9.29,8.55,1824,9.26,8.15,1824,9.058333333,7.923333333
1825,New York,10.21,8.39,1825,9.38,8.22,1825,9.248333333,8.093333333
1826,New York,9.92,8.36,1826,9.81,8.43,1826,9.405,8.216666667
1827,New York,9.26,8.81,1827,9.80,8.52,1827,9.526666667,8.336666667
1828,New York,10.7,8.17,1828,9.96,8.45,1828,9.67,8.333333333
1829,New York,9.17,7.94,1829,9.71,8.31,1829,9.758333333,8.37
1830,New York,10.32,8.52,1830,10.06,8.21,1830,9.93,8.365
1831,New York,9.07,7.64,1831,9.52,8.03,1831,9.74,8.24
1832,New York,9.15,7.45,1832,9.51,7.87,1832,9.611666667,8.088333333
1833,New York,9.15,8.01,1833,9.12,7.70,1833,9.593333333,7.955
1834,New York,9.32,8.15,1834,9.21,7.87,1834,9.363333333,7.951666667
1835,New York,8.48,7.39,1835,8.98,7.85,1835,9.248333333,7.86
1836,New York,7.51,7.7,1836,8.44,7.75,1836,8.78,7.723333333
1837,New York,8.12,7.38,1837,8.04,7.49,1837,8.621666667,7.68
1838,New York,8.73,7.51,1838,8.12,7.53,1838,8.551666667,7.69
1839,New York,9.17,7.63,1839,8.67,7.51,1839,8.555,7.626666667
1840,New York,9.27,7.8,1840,9.06,7.65,1840,8.546666667,7.568333333
1841,New York,9,7.69,1841,9.15,7.71,1841,8.633333333,7.618333333
1842,New York,9.41,8.02,1842,9.23,7.84,1842,8.95,7.671666667
1843,New York,8.49,8.17,1843,8.97,7.96,1843,9.011666667,7.803333333
1844,New York,9.12,7.65,1844,9.01,7.95,1844,9.076666667,7.826666667
1845,New York,9.49,7.85,1845,9.03,7.89,1845,9.13,7.863333333
1846,New York,9.66,8.55,1846,9.42,8.02,1846,9.195,7.988333333
1847,New York,9.3,8.09,1847,9.48,8.16,1847,9.245,8.055
1848,New York,9.54,7.98,1848,9.50,8.21,1848,9.266666667,8.048333333
1849,New York,8.83,7.98,1849,9.22,8.02,1849,9.323333333,8.016666667
1850,New York,9.1,7.9,1850,9.16,7.95,1850,9.32,8.058333333
1851,New York,9.26,8.18,1851,9.06,8.02,1851,9.281666667,8.113333333
1852,New York,8.98,8.1,1852,9.11,8.06,1852,9.168333333,8.038333333
1853,New York,9.68,8.04,1853,9.31,8.11,1853,9.231666667,8.03
1854,New York,9.56,8.21,1854,9.41,8.12,1854,9.235,8.068333333
1855,New York,9.11,8.11,1855,9.45,8.12,1855,9.281666667,8.09
1856,New York,8.2,8,1856,8.96,8.11,1856,9.131666667,8.106666667
1857,New York,8.52,7.76,1857,8.61,7.96,1857,9.008333333,8.036666667
1858,New York,9.13,8.1,1858,8.62,7.95,1858,9.033333333,8.036666667
1859,New York,9.17,8.25,1859,8.94,8.04,1859,8.948333333,8.071666667
1860,New York,9.18,7.96,1860,9.16,8.10,1860,8.885,8.03
1861,New York,9.47,7.85,1861,9.27,8.02,1861,8.945,7.986666667
1862,New York,9,7.56,1862,9.22,7.79,1862,9.078333333,7.913333333
1863,New York,9.09,8.11,1863,9.19,7.84,1863,9.173333333,7.971666667
1864,New York,9.29,7.98,1864,9.13,7.88,1864,9.2,7.951666667
1865,New York,9.64,8.18,1865,9.34,8.09,1865,9.278333333,7.94
1866,New York,8.95,8.29,1866,9.29,8.15,1866,9.24,7.995
1867,New York,8.59,8.44,1867,9.06,8.30,1867,9.093333333,8.093333333
1868,New York,7.95,8.25,1868,8.50,8.33,1868,8.918333333,8.208333333
1869,New York,8.85,8.43,1869,8.46,8.37,1869,8.878333333,8.261666667
1870,New York,10.04,8.2,1870,8.95,8.29,1870,9.003333333,8.298333333
1871,New York,8.94,8.12,1871,9.28,8.25,1871,8.886666667,8.288333333
1872,New York,8.61,8.19,1872,9.20,8.17,1872,8.83,8.271666667
1873,New York,8.44,8.35,1873,8.66,8.22,1873,8.805,8.256666667
1874,New York,9.06,8.43,1874,8.70,8.32,1874,8.99,8.286666667
1875,New York,7.74,7.86,1875,8.41,8.21,1875,8.805,8.191666667
1876,New York,9.35,8.08,1876,8.72,8.12,1876,8.69,8.171666667
1877,New York,10.15,8.54,1877,9.08,8.16,1877,8.891666667,8.241666667
